SubTopic2,cProjects,Country Name,gGrade,Indicator,Time,Latitude (generated),Longitude (generated),Fact Value
1 Math,PISA,Vietnam,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,21.75,105.373,519.079650879
1 Math,PISA,Uruguay,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,-32.948,-56.249,438.752380371
1 Math,PISA,United States,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,40.0792,-98.8164,492.953643799
1 Math,PISA,United Kingdom,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,52.289,-1.259,516.938537598
1 Math,PISA,United Arab Emirates,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,23.9299,53.9031,448.714599609
1 Math,PISA,Turkey,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,39.144,34.188,441.336761475
1 Math,PISA,Tunisia,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,35.594,9.421,385.036834717
1 Math,PISA,Trinidad and Tobago,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,10.4435,-61.2604,437.966735840
1 Math,PISA,Thailand,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,15.688,100.845,436.098754883
1 Math,PISA,Switzerland,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,46.7794,8.0329,547.139648438
1 Math,PISA,Sweden,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,66.2188,19,518.449645996
1 Math,PISA,Spain,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,40.617,-3.388,509.973724365
1 Math,PISA,Slovenia,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,46.037,14.534,535.245971680
1 Math,PISA,Slovak Republic,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,48.8595,19.4434,498.833465576
1 Math,PISA,Singapore,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,1.3389,103.8297,592.211425781
1 Math,PISA,Russian Federation,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,64.736,104.062,518.598632813
1 Math,PISA,Qatar,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,25.3174,51.1522,422.386749268
1 Math,PISA,Portugal,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,40.957,-7.9373,516.044677734
1 Math,PISA,Poland,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,52.442,19.72,529.524841309
1 Math,PISA,Peru,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,-12.664,-72.98,405.759979248
1 Math,PISA,Norway,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,61.3701,9.3031,526.649353027
1 Math,PISA,New Zealand,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,-42.558,172.377,519.819641113
1 Math,PISA,Netherlands,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,52.1704,5.0102,537.695007324
1 Math,PISA,Montenegro,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,42.857,19.096,438.691741943
1 Math,PISA,Moldova,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,47.524,28.444,440.507049561
1 Math,PISA,Mexico,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,22.925,-101.68,428.288879395
1 Math,PISA,Malta,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,35.9024,14.4137,502.417785645
1 Math,PISA,"Macedonia, FYR",High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,41.636,21.676,389.753448486
1 Math,PISA,"Macao SAR, China",High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,22.1404,113.5643,570.817260742
1 Math,PISA,Luxembourg,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,49.671,6.113,509.897521973
1 Math,PISA,Lithuania,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,55.342,24.23,502.143371582
1 Math,PISA,Lebanon,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,34.161,36.021,415.930297852
1 Math,PISA,Latvia,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,57.017,25.0173,506.259857178
1 Math,PISA,"Korea, Rep.",High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,36.338,128.16,550.137084961
1 Math,PISA,Jordan,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,30.681,36.279,399.145416260
1 Math,PISA,Japan,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,35.962,137.855,558.884704590
1 Math,PISA,Italy,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,44.3713,11.1084,514.052185059
1 Math,PISA,Israel,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,30.992,34.834,492.996643066
1 Math,PISA,Ireland,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,53.214,-7.588,528.740478516
1 Math,PISA,Indonesia,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,-0.739,114.045,405.286590576
1 Math,PISA,Iceland,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,64.826,-18.417,512.272460938
1 Math,PISA,Hungary,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,47.174,19.618,500.513732910
1 Math,PISA,"Hong Kong SAR, China",High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,22.4114,114.0599,575.145263672
1 Math,PISA,Greece,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,39.787,21.617,476.160400391
1 Math,PISA,Germany,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,51.3819,9.9877,531.101501465
1 Math,PISA,Georgia,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,42.05,43.576,423.890502930
1 Math,PISA,France,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,46.656,2.543,517.402404785
1 Math,PISA,Finland,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,62.716,26.192,536.460632324
1 Math,PISA,Estonia,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,58.777,25.977,545.332702637
1 Math,PISA,Dominican Republic,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,19.01,-70.1685,343.978088379
1 Math,PISA,Denmark,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,56.113,9.096,536.471984863
1 Math,PISA,Czech Republic,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,49.848,15.2812,516.777893066
1 Math,PISA,Croatia,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,45.754,16.385,487.087677002
1 Math,PISA,Costa Rica,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,10.126,-84.075,420.132873535
1 Math,PISA,Colombia,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,3.794,-73.606,408.996368408
1 Math,PISA,China,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,35.1753,99.3877,557.684143066
1 Math,PISA,Chile,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,-23.176,-69.201,443.664276123
1 Math,PISA,Canada,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,59.2067,-111.1937,541.258178711
1 Math,PISA,Bulgaria,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,42.625,24.521,463.102600098
1 Math,PISA,Brazil,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,-11.694,-48.978,395.797515869
1 Math,PISA,Belgium,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,50.6745,4.4588,532.164916992
1 Math,PISA,Austria,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,47.65,14.705,521.414123535
1 Math,PISA,Australia,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,-24.578,133.582,518.426696777
1 Math,PISA,Algeria,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,28.6045,2.64,377.466888428
1 Math,PISA,Albania,High Grade,"Harmonized Learning Outcomes (PISA based): math, 8th grade, total",2015,40.654,20.076,433.677368164
